Year,ZIP code,Age Group,Number of Visits,Age-adjusted rate,County Fips code,County
2009,90001,Adults (18+),206,66.29998779,6037,Los Angeles
2009,90001,All Ages,409,71.89996338,6037,Los Angeles
2009,90001,Children (0-17),203,87.89996338,6037,Los Angeles
2009,90002,Adults (18+),204,75.09997559,6037,Los Angeles
2009,90002,All Ages,418,83.29998779,6037,Los Angeles
2009,90002,Children (0-17),214,106.8999634,6037,Los Angeles
2009,90003,Adults (18+),376,98,6037,Los Angeles
2009,90003,All Ages,771,113.3999634,6037,Los Angeles
2009,90003,Children (0-17),395,157.7999268,6037,Los Angeles
2009,90004,Adults (18+),162,33.8999939,6037,Los Angeles
2009,90004,All Ages,290,42.8999939,6037,Los Angeles
2009,90004,Children (0-17),128,68.79998779,6037,Los Angeles
2009,90005,Adults (18+),73,26.19999695,6037,Los Angeles
2009,90005,All Ages,145,34.29998779,6037,Los Angeles
2009,90005,Children (0-17),72,57.59997559,6037,Los Angeles
2009,90006,Adults (18+),146,35.5,6037,Los Angeles
2009,90006,All Ages,318,50.09997559,6037,Los Angeles
2009,90006,Children (0-17),172,92,6037,Los Angeles
2009,90007,Adults (18+),91,32.59997559,6037,Los Angeles
2009,90007,All Ages,193,48.79998779,6037,Los Angeles
2009,90007,Children (0-17),102,95.5,6037,Los Angeles
2009,90008,Adults (18+),203,85.59997559,6037,Los Angeles
2009,90008,All Ages,376,118.7999878,6037,Los Angeles
2009,90008,Children (0-17),173,214.5,6037,Los Angeles
2009,90011,Adults (18+),306,55.09997559,6037,Los Angeles
2009,90011,All Ages,678,63.09997559,6037,Los Angeles
2009,90011,Children (0-17),372,85.89996338,6037,Los Angeles
2009,90012,Adults (18+),49,15.79999542,6037,Los Angeles
2009,90012,All Ages,65,19.69999695,6037,Los Angeles
2009,90012,Children (0-17),16,31,6037,Los Angeles
2009,90013,Adults (18+),101,104.3999634,6037,Los Angeles
2009,90013,All Ages,109,98.39996338,6037,Los Angeles
2009,90013,Children (0-17),,,6037,Los Angeles
2009,90014,Adults (18+),55,171.7999268,6037,Los Angeles
2009,90014,All Ages,62,201.0999756,6037,Los Angeles
2009,90014,Children (0-17),,,6037,Los Angeles
2009,90015,Adults (18+),48,34,6037,Los Angeles
2009,90015,All Ages,98,48,6037,Los Angeles
2009,90015,Children (0-17),50,88.29998779,6037,Los Angeles
2009,90016,Adults (18+),211,61.19998169,6037,Los Angeles
2009,90016,All Ages,396,79.5,6037,Los Angeles
