Geography,Year,Age Group,Strata,Strata Name,Numerator,Percent
Alameda,2015,18 and Over,Total Population,18 and Over,"6,513",53.1
Amador,2015,18 and Over,Total Population,18 and Over,151,49.1
Butte,2015,18 and Over,Total Population,18 and Over,736,43.8
Calaveras,2015,18 and Over,Total Population,18 and Over,139,42.7
California,2015,18 and Over,Total Population,18 and Over,"117,854",40
Colusa,2015,18 and Over,Total Population,18 and Over,49,29
Contra Costa,2015,18 and Over,Total Population,18 and Over,"4,528",54.8
Del Norte,2015,18 and Over,Total Population,18 and Over,91,41.9
El Dorado,2015,18 and Over,Total Population,18 and Over,422,32.8
Fresno,2015,18 and Over,Total Population,18 and Over,"3,454",49.5
Glenn,2015,18 and Over,Total Population,18 and Over,83,39.4
Humboldt,2015,18 and Over,Total Population,18 and Over,682,64.8
Imperial,2015,18 and Over,Total Population,18 and Over,651,47.2
Inyo,2015,18 and Over,Total Population,18 and Over,55,40.1
Kern,2015,18 and Over,Total Population,18 and Over,"3,293",50.3
Kings,2015,18 and Over,Total Population,18 and Over,635,56.1
Lake,2015,18 and Over,Total Population,18 and Over,363,76.9
Lassen,2015,18 and Over,Total Population,18 and Over,115,40.2
Los Angeles,2015,18 and Over,Total Population,18 and Over,"31,687",40.8
Madera,2015,18 and Over,Total Population,18 and Over,445,37.7
Marin,2015,18 and Over,Total Population,18 and Over,374,18.3
Mariposa,2015,18 and Over,Total Population,18 and Over,69,51.8
Mendocino,2015,18 and Over,Total Population,18 and Over,349,53.4
Merced,2015,18 and Over,Total Population,18 and Over,"1,315",69.2
Modoc,2015,18 and Over,Total Population,18 and Over,34,56.7
Mono,2015,18 and Over,Total Population,18 and Over,27,24.8
Monterey,2015,18 and Over,Total Population,18 and Over,"1,224",38.3
Napa,2015,18 and Over,Total Population,18 and Over,382,34.7
Nevada,2015,18 and Over,Total Population,18 and Over,272,41
Orange,2015,18 and Over,Total Population,18 and Over,"5,996",24.9
Placer,2015,18 and Over,Total Population,18 and Over,788,27.9
Plumas,2015,18 and Over,Total Population,18 and Over,78,53.2
Riverside,2015,18 and Over,Total Population,18 and Over,"6,194",35.7
Sacramento,2015,18 and Over,Total Population,18 and Over,"6,824",61.7
San Benito,2015,18 and Over,Total Population,18 and Over,170,40.9
San Bernardino,2015,18 and Over,Total Population,18 and Over,"7,742",49.5
San Diego,2015,18 and Over,Total Population,18 and Over,"7,030",28.3
San Francisco,2015,18 and Over,Total Population,18 and Over,"2,291",33
San Joaquin,2015,18 and Over,Total Population,18 and Over,"2,934",56.2
San Luis Obispo,2015,18 and Over,Total Population,18 and Over,629,31.4
San Mateo,2015,18 and Over,Total Population,18 and Over,"1,869",31.9
