"","Year","ZIP.code","age","Number.of.Visits","Age.adjusted.rate","County.Fips.code","County"
"1",2016,96003,"child",50,57.5,6089,"shasta"
"2",2016,95993,"child",26,30.2,6101,"sutter"
"3",2016,95991,"child",64,54.3,6101,"sutter"
"4",2016,95966,"child",46,70.2,6007,"butte"
"5",2016,95963,"child",29,67.3,6021,"glenn"
"6",2016,95961,"child",38,42.1,6115,"yuba"
"7",2016,95945,"child",23,52.5,6057,"nevada"
"8",2016,95926,"child",27,41.5,6007,"butte"
"9",2016,95842,"child",106,117.1,6067,"sacramento"
"10",2016,95838,"child",156,129.2,6067,"sacramento"
"11",2016,95832,"child",59,151.2,6067,"sacramento"
"12",2016,95823,"child",304,133.3,6067,"sacramento"
"13",2016,95821,"child",109,153.6,6067,"sacramento"
"14",2016,95820,"child",93,96.3,6067,"sacramento"
"15",2016,95815,"child",91,134.6,6067,"sacramento"
"16",2016,95762,"child",25,24.4,6017,"el dorado"
"17",2016,95758,"child",78,49.9,6067,"sacramento"
"18",2016,95695,"child",54,57.7,6113,"yolo"
"19",2016,95691,"child",82,84,6113,"yolo"
"20",2016,95688,"child",75,87.5,6095,"solano"
"21",2016,95678,"child",33,31.1,6061,"placer"
"22",2016,95632,"child",29,35.9,6067,"sacramento"
"23",2016,95628,"child",42,57.2,6067,"sacramento"
"24",2016,95621,"child",71,78,6067,"sacramento"
"25",2016,95620,"child",48,85.6,6095,"solano"
"26",2016,95540,"child",28,86.4,6023,"humboldt"
"27",2016,95501,"child",34,71.9,6023,"humboldt"
"28",2016,95492,"child",33,45.5,6097,"sonoma"
"29",2016,95472,"child",19,42.3,6097,"sonoma"
"30",2016,95422,"child",30,69,6033,"lake"
"31",2016,95407,"child",77,69.1,6097,"sonoma"
"32",2016,95403,"child",73,67.4,6097,"sonoma"
"33",2016,95401,"child",68,79,6097,"sonoma"
"34",2016,95380,"child",108,90,6099,"stanislaus"
"35",2016,95368,"child",16,40.2,6099,"stanislaus"
"36",2016,95360,"child",21,57.7,6099,"stanislaus"
"37",2016,95341,"child",183,152.2,6047,"merced"
"38",2016,95340,"child",167,177.7,6047,"merced"
"39",2016,95334,"child",45,95.4,6047,"merced"
"40",2016,95330,"child",53,84.6,6077,"san joaquin"
"41",2016,95326,"child",15,51.6,6099,"stanislaus"
"42",2016,95324,"child",14,75.2,6047,"merced"
"43",2016,95320,"child",12,38.5,6077,"san joaquin"
"44",2016,95316,"child",13,77.5,6099,"stanislaus"
"45",2016,95301,"child",109,98.2,6047,"merced"
"46",2016,95252,"child",16,54,6009,"calaveras"
"47",2016,95242,"child",24,39.5,6077,"san joaquin"
"48",2016,95240,"child",113,83.8,6077,"san joaquin"
"49",2016,95215,"child",29,42.6,6077,"san joaquin"
"50",2016,95207,"child",154,122.2,6077,"san joaquin"
"51",2016,95776,"child",44,63.7,6113,"yolo"
"52",2016,95202,"child",44,240.8,6077,"san joaquin"
"53",2016,95136,"child",46,41.7,6085,"santa clara"
"54",2016,95131,"child",20,28.5,6085,"santa clara"
"55",2016,95127,"child",99,59.3,6085,"santa clara"
"56",2016,95124,"child",32,26.8,6085,"santa clara"
"57",2016,95122,"child",122,69.1,6085,"santa clara"
"58",2016,95120,"child",14,14,6085,"santa clara"
"59",2016,95117,"child",30,39.2,6085,"santa clara"
"60",2016,95116,"child",103,64.3,6085,"santa clara"
"61",2016,95111,"child",102,59,6085,"santa clara"
"62",2016,95110,"child",21,44.7,6085,"santa clara"
"63",2016,95076,"child",217,87,6087,"santa cruz"
"64",2016,95054,"child",22,33.5,6085,"santa clara"
"65",2016,95051,"child",34,24,6085,"santa clara"
"66",2016,95035,"child",60,35.5,6085,"santa clara"
"67",2016,95032,"child",12,21.8,6085,"santa clara"
"68",2016,95014,"child",13,8.2,6085,"santa clara"
"69",2016,95012,"child",21,64,6053,"monterey"
"70",2016,94954,"child",30,34.7,6097,"sonoma"
"71",2016,94952,"child",32,48.5,6097,"sonoma"
"72",2016,94903,"child",13,23.2,6041,"marin"
"73",2016,94803,"child",45,93.4,6013,"contra costa"
"74",2016,94706,"child",22,47.2,6001,"alameda"
"75",2016,94621,"child",296,291.9,6001,"alameda"
"76",2016,94618,"child",13,40,6001,"alameda"
"77",2016,94611,"child",28,39.2,6001,"alameda"
"78",2016,94606,"child",124,171.3,6001,"alameda"
"79",2016,94605,"child",215,219.3,6001,"alameda"
"80",2016,94590,"child",184,223.4,6095,"solano"
"81",2016,94587,"child",120,71.1,6001,"alameda"
"82",2016,94577,"child",96,90.3,6001,"alameda"
"83",2016,94568,"child",57,39.7,6001,"alameda"
"84",2016,94566,"child",39,38.7,6001,"alameda"
"85",2016,94561,"child",85,78.3,6013,"contra costa"
"86",2016,94523,"child",25,37.4,6013,"contra costa"
"87",2016,94519,"child",16,39.7,6013,"contra costa"
"88",2016,94510,"child",37,63.7,6095,"solano"
"89",2016,94404,"child",18,22.7,6081,"san mateo"
